Source System,MDM Person ID,Source System ID,First Name,Middle Name,Last Name,Suffix,Previous Last Name,Gender,Nationality,Birthdate,Sport Code,Sport Code Conformed,Phone Number,Email Address,City,State,Zipcode,Country,Active
MDM,798389,,MARY,,Murray,,,,USA,1900-01-01 00:00:00,SWI,SWI,8688956642,kmurray_02@mail.com,Jackson,MS,39211,USA,1
Training Center,798389,39C6361A-18B5-E211-A744-005056AD000E,MARY,,Murray,,,,USA,1900-01-01 00:00:00,SWI,SWI,8688956642,kmurray_02@mail.com,Jackson,MS,39211,USA,1
Athlete Historical,798623,348D3A42-5BF7-E311-93FC-005056AD437C,THOMAS,Andrew,Peterlin,,,Male,USA,1985-01-04 00:00:00,ROW,ROW,3598011613,tpeterlin2@mail.com,Poway,CA,92064,USA,1
Athlete Education,798623,0034600000wFGXWAA4,Tomas,,Peterlin,,,Male,,1985-01-04 00:00:00,ROW,ROW,3598011613,tpeterlin2@mail.com,Austin,TX,78746,USA,1
EMR,798623,1653339715906220,THOMAS,Andrew,Peterlin,,,Male,,1985-01-04 00:00:00,ROW,ROW,3598011613,tpeterlin2@mail.com,,,,,1
Competition Results,798623,866852,THOMAS,,Peterlin,,,Male,USA,1985-01-04 00:00:00,ROW,ROW,,,,,,,1
MDM,798623,,THOMAS,Andrew,Peterlin,,Peterlin,Male,USA,1985-01-04 00:00:00,ROW,ROW,3598011613,tpeterlin2@mail.com,Poway,CA,92064,USA,1
Athlete CRM,798623,0033h00001AckhcAAB,THOMAS,Andrew,Peterlin,,Peterlin,Male,USA,1985-01-04 00:00:00,ROW,ROW,3598011613,tpeterlin2@mail.com,Poway,CA,92064,USAA (the),1
Training Center,798623,694F564F-6747-DF11-8113-001A648ADFAC,THOMAS,Andrew,Peterlin,,,,USA,1985-01-04 00:00:00,ROW,ROW,3598011613,tpeterlin2@mail.com,Philadelphia,PA,19130,USA,1
Training Center,1001529,988551C9-536A-EB11-B4A7-005056AD000E,Benedict,,Ebert,,,,,1999-11-09 00:00:00,EQU,EQU,,,,,,,1
Athlete Historical,798888,EEC88DCA-4BA3-E411-9408-005056AD7D3E,Shaun,,Gurman,,,,,1944-04-14 00:00:00,,,,sgurman@psu.org,,,,,1
MDM,798888,,Shaun,,Gurman,,Gurman,,USA,1944-04-14 00:00:00,GBL_P,GBL_P,9258828926,sgurman@psu.org,Dubois,PA,15801,,1
Athlete CRM,798888,0033h00001Acq9sAAB,Shaun,,Gurman,,Gurman,,,1944-04-14 00:00:00,,,,sgurman@psu.org,,,,,1
Training Center,798888,E9BCF2B8-E08F-E111-A766-005056AD000E,Shaun,,Gurman,,,,USA,1944-04-14 00:00:00,GBL_P,GBL_P,9258828926,sgurman@psu.org,Dubois,PA,15801,USA,1
EMR,801013,1655213911706280,thomas,,Budd,,,Female,,1996-11-24 00:00:00,LUG,LUG,5959718422,tbudd@yahoo.com,Allentown,PA,18103,,1
Competition Results,801013,1132689,thomas,,Budd,,,Female,USA,1996-11-24 00:00:00,LUG,LUG,,,,,,,1
MDM,801013,,thomas,Sophia,Budd,,,Female,USA,1996-11-24 00:00:00,LUG,LUG,5959718422,tbudd@yahoo.com,Allentown,PA,18103,,1
Training Center,801013,972FC951-C420-DF11-B3AA-001A648ADFAC,thomas,Sophia,Budd,,,,USA,1996-11-24 00:00:00,LUG,LUG,5959718422,tbudd@yahoo.com,Allentown,PA,18103-6461,USA,1
Athlete Historical,802255,25D80416-47AD-E411-940B-005056AD1287,Agata,George,KRUGER,,,Male,,1979-02-18 00:00:00,ATH,ATH,5207171020,akruger@yahoo.com,Vermillion,SD,57069,USA,1
Training Center,1003920,2DA4083D-A8E5-E511-ADF7-005056AD000E,JOSEPH,,Roberts,,,,,,WGT,WGT,,,,,,,1
EMR,802255,1741702138006220,Agata,,KRUGER,,,Male,,1979-02-18 00:00:00,ATH,ATH,5207171020,akruger@yahoo.com,Vermillion,SD,57069,USA,1
Competition Results,802255,568528,Aaron,,KRUGER,,,Male,USA,1979-02-18 00:00:00,ATH,ATH,,,,,,,1
MDM,802255,,ALFRED,George,Krunger,,Krunger,Male,USA,1979-02-18 00:00:00,ATH,ATH,5207171020,akruger@yahoo.com,Vermillion,SD,57069,USA,1
Athlete CRM,802255,003VY000001w4fOYAQ,ALFRED,,Krunger,,Krunger,Male,,1979-02-18 00:00:00,ATH,ATH,5207171020,akruger@yahoo.com,,SD,57069,USA,1
Athlete CRM,802255,0033h00001AckfEAAR,ALFRED,George,Krunger,,Krunger,Male,,1979-02-18 00:00:00,ATH,ATH,5207171020,akruger@yahoo.com,,SD,57069,USA,1
Training Center,802255,7C19A87B-0E12-E411-BF71-005056AD000E,Agata,George,KRUGER,,,,USA,1979-02-18 00:00:00,ATH,ATH,5207171020,akruger@yahoo.com,Ashland,OH,44805,USA,1
Finance,802255,102386,Aliah,GEORGE,Kruger III,,,,,,ATH,ATH,5207171020,akruger@yahoo.com,ASHLAND,OH,44805,USA,1
Athlete Historical,802287,CD0069F1-3BA3-E411-940A-005056AD1287,JORDAN,Robert,Holmes,,,Male,,1982-01-17 00:00:00,WRE,WRE,7237667586,jordan.holmes@gmail.com,Minneapolis,MN,55422,USA,1
Athlete Education,802287,0034600000wFGONAA4,JORDAN,,Holmes,,,Male,,1982-01-17 00:00:00,WRE,WRE,7237667586,jordan.holmes@gmail.com,Minneapolis,MN,55422,USA,1
EMR,802287,1750178751206230,JORDAN,,Holmes,,,Male,,1982-01-17 00:00:00,WRE,WRE,,jordan.holmes@gmail.com,,,,,1
Competition Results,802287,931393,JORDAN,,Holmes,,,Male,USA,1982-01-17 00:00:00,WRE,WRE,,,,,,,1
MDM,802287,,JORDAN,Robert,Holmes,,Holmes,Male,USA,1982-01-17 00:00:00,WRE,WRE,7237667586,jordan.holmes@gmail.com,Golden Valley,MN,55422,USA,1
Athlete CRM,802287,0033h00001AclDGAAZ,JORDAN,Robert,Holmes,,Holmes,Male,,1982-01-17 00:00:00,WRE,WRE,7237667586,jordan.holmes@gmail.com,Minneapolis,MN,55422,USAA (the),1
Training Center,802287,8A4DF642-3C69-DF11-8884-001A648ADFAC,JORDAN,,Holmes,,,,USA,1982-01-17 00:00:00,WRE,WRE,7237667586,jordan.holmes@gmail.com,Minneapolis,MN,55422,USA,1
MDM,1003920,,JOSEPH,,Roberts,,,,,,WGT,WGT,,,,,,,1
MDM,803503,,Cadence,,Hails,,,,USA,1999-08-10 00:00:00,SHO,SHO,3295188786,khails@yahoo.com,Blackduck,MN,56630,USA,1
Training Center,803503,473E4087-9BA7-E211-A744-005056AD000E,Cadence,,Hails,,,,USA,1999-08-10 00:00:00,SHO,SHO,3295188786,khails@yahoo.com,Blackduck,MN,56630,USA,1
Athlete Historical,803778,2AA69451-56AD-E411-940B-005056AD1287,CHRISTOPHER,Anthony,Bench,,,M,USA,4-9-1900,ATH,ATH,3623754336,chris.bbnc@outlook.com,Chula Vista,CA,91915,USA,1
Athlete Education,803778,0034600000wFGHVAA4,CHRIS,,Bench,,,M,,4-9-1900,ATH,ATH,3623754336,chris.bbnc@outlook.com,Chula Vista,CA,91911,USA,1
EMR,803778,1680011081256160,CHRISTOPHER,,Bench,,,M,,4-9-1900,ATH,ATH,3623754336,chris.bbnc@outlook.com,Corona,CA,92881,USA,1
Competition Results,803778,1181722,CHRIS,,Bench,,,M,USA,4-9-1900,ATH,ATH,,,,,,,1
MDM,803778,,CHRIS,Anthony,Bench,,Bench,M,USA,4-9-1900,ATH,ATH,3623754336,chris.bbnc@outlook.com,Chula Vista,CA,91915,USAA (the),1
Athlete CRM,803778,0033h00001AcfiWAAR,CHRIS,Anthony,Bench,,Bench,M,USA,4-9-1900,ATH,ATH,3623754336,chris.bbnc@outlook.com,Chula Vista,CA,91915,USAA (the),1
Training Center,803778,0650E933-3F96-E211-982C-005056AD000E,CHRIS,,Bench,,,,USA,4-9-1900,ATH,ATH,5623754536,chris.bench@gmail.com,Corona,CA,92881,USA,1
Training Center,1003931,424F59DA-A6E5-E511-ADF7-005056AD000E,Lilly,,Marin,,,,,,ATH,ATH,,,,,,,1
Athlete Historical,804264,D7E44C7A-48A3-E411-9408-005056AD7D3E,BENEDICT,Edelen,HESEN,,,Male,,1986-02-15 00:00:00,SWI,SWI,6137049664,bhesen@gmail.com,Gainesville,FL,32605,USA,1
Competition Results,804264,721048,BENEDICT,,HESEN,,,Male,USA,1986-02-15 00:00:00,SWI,SWI,,,,,,,1
MDM,804264,,BENEDICT,E,HESEN,,HESEN,Male,USA,1986-02-15 00:00:00,SWI,SWI,6137049664,bhesen@gmail.com,Gainesville,FL,32605,USAA (the),1
Athlete CRM,804264,0033h00001AcqgbAAB,BENEDICT,,HESEN,,HESEN,Male,,1986-02-15 00:00:00,SWI,SWI,6137049664,bhesen@gmail.com,Gainesville,FL,32605,USAA (the),1
Training Center,804264,B200E2E7-A320-DF11-B3AA-001A648ADFAC,BENEDICT,,HESEN,,,,USA,1986-02-15 00:00:00,SWI,SWI,6137049664,bhesen@indiana.org,Jeffersonville,IN,47130-8600,USA,1
Finance,804264,200376,Benjamin,E,Hess,,,,,,SWI,SWI,6137049666,bhesen@gmail.com,JEFFERSONVILLE,IN,47130,USA,1
Athlete Historical,804430,0E5356F6-0458-E511-9416-005056AD565D,Zack,Tyler,Dorey,,,Male,USA,1991-01-08 00:00:00,FSK,FSK,9719503630,zzorey_02@cloud.com,N. Madison,CT,06443,USA,1
Athlete Education,804430,00346000011hVlMAAU,Zack,,Dorey,,,Male,,1991-01-08 00:00:00,FSK,FSK,,zzorey_02@mail.com,,,,,1
EMR,804430,1694617045206340,Zack,,Dorey,,,Male,,1991-01-08 00:00:00,FSK,FSK,,zzorey_02@mail.com,,,,,1
Competition Results,804430,809677,Zack,,Dorey,,,Male,USA,1991-01-08 00:00:00,FSK,FSK,,,,,,,1
MDM,804430,,Zack,Tyler,Dorey,,Dorey,Male,USA,1991-01-08 00:00:00,FSK,FSK,9719503630,zzorey_02@mail.com,Madison,CT,6443,USA,1
Athlete CRM,804430,0033h00001AceM2AAJ,Zack,Tyler,Dorey,,Dorey,Male,USA,1991-01-08 00:00:00,FSK,FSK,9719503630,zzorey_02@cloud.com,N. Madison,CT,6443,USAA (the),1
Training Center,804430,6900C4C2-74E2-E111-8986-005056AD000E,Zachariah,Tyler,Dorey,,,,USA,1991-01-08 00:00:00,FSK,FSK,6256501910,zzorey_02@mail.com,Madison,CT,06443,USA,1
MDM,1003931,,Lilly,,Marin,,,,,,ATH,ATH,,,,,,,1
Athlete Historical,805148,1669B8C8-A2BB-E511-941A-005056AD565D,Sebastian,Michael,Hyatt,,,M,,1987-08-22 00:00:00,WGT,WGT,5549459124,shyat@outlook.com,Boynton Beach,FL,33436,USA,1
Competition Results,805148,1439431,Sebastian,,Hyatt,,,M,USA,1987-08-22 00:00:00,WGT,WGT,,,,,,,1
MDM,805148,,Sebastian,Michael,Hyatt,,Hyatt,M,USA,1987-08-22 00:00:00,WGT,WGT,5549459124,shyat@outlook.com,Boynton Beach,FL,33436,USAA (the),1
Athlete CRM,805148,0033h00001AcfgiAAB,Sebastian,Michael,Hyatt,,Hyatt,M,,1987-08-22 00:00:00,WGT,WGT,5549459124,shyat@outlook.com,Boynton Beach,FL,33436,USAA (the),1
Training Center,805148,69D27DBB-F5EA-E011-9F95-005056AD000E,Sebastian,,Hyatt,,,,USA,1987-08-22 00:00:00,WGT,WGT,4293970531,shyatt@gmail.com,Colorado Springs,CO,80909,USA,1
Athlete Historical,805641,2E7105DC-48A3-E411-9408-005056AD7D3E,Kaleb,Tara,McElroy,,,Female,,1985-03-19 00:00:00,CAN,CAN,3189018534,kaleb.mcelroy_02@mail.com,Bethany,OK,73008,USA,1
Athlete Education,805641,0034600000wFGAnAAO,Kaleb,,McEuin,,,Female,,1985-03-19 00:00:00,CAN,CAN,3189018534,kaleb.mcelroy_02@mail.com,Oklahoma City,OK,73008,USA,1
EMR,805641,1655730082006220,Kaleb,,McEuin,,,Female,,1985-03-19 00:00:00,CAN,CAN,3189018534,kaleb.mcelroy_02@mail.com,bethany,OK,73008,USA,1
Competition Results,805641,806580,Kaleb,,McEuin,,,Female,USA,1985-03-19 00:00:00,CAN,CAN,,,,,,,1
MDM,805641,,Kaleb,Tara,McElroy,,McElroy,Female,USA,1985-03-19 00:00:00,CAN,CAN,3189018534,kaleb.mcelroy_02@mail.com,Bethany,OK,73008,USA,1
Athlete CRM,805641,0033h00001AcmLWAAZ,Kaleb,Tara,McEuin,,McElroy,Female,,1985-03-19 00:00:00,CAN_P,CAN_P,3189018534,kaleb.mcelroy_02@mail.com,Bethany,OK,73008,USAA (the),1
Training Center,805641,9D2DC951-C420-DF11-B3AA-001A648ADFAC,Kaleb,T,McEuin,,,,USA,1985-03-19 00:00:00,CAN,CAN,3189018534,kaleb.mcelroy_02@mail.com,Bethany,OK,73008,USA,1
MDM,1003959,,Ciel,,Kyprianou,,,,,,WGT,WGT,,,,,,,1
Athlete Historical,805757,B0D2F794-41F7-E311-93FC-005056AD1DA1,TUCKER,Daniel,FREDRICKS,,,M,,1984-04-16 00:00:00,SSK,SSK,9126619394,tfredricks@msn.com,Janesville,WI,53546-2178,USA,1
Competition Results,805757,162577,TUCKER,,FREDRICKS,,,M,USA,1984-04-16 00:00:00,SSK,SSK,,,,,,,1
MDM,805757,,TUCKER,Daniel,FREDRICKS,,FREDRICKS,M,USA,1984-04-16 00:00:00,SSK,SSK,9126619394,tfredricks@msn.com,Janesville,WI,53546-2178,USAA (the),1
Athlete CRM,805757,0033h00001AcrT9AAJ,TUCKER,Daniel,FREDRICKS,,FREDRICKS,M,,1984-04-16 00:00:00,SSK,SSK,9126619394,tfredricks@msn.com,Janesville,WI,53546-2178,USAA (the),1
Training Center,805757,D630C951-C420-DF11-B3AA-001A648ADFAC,TUCKER,Daneil,FREDRICKS,,,,USA,1984-04-16 00:00:00,SSK,SSK,9126619394,tfredricks@msn.com,Salt Lake City,UT,84115-2638,USA,1
Finance,805757,100691,Ty,DANIEL,Freedman,,,,,,SSK,SSK,,,SALT LAKE CITY,UT,84115,USA,1
Athlete Historical,805981,3FEB4ACE-B086-E711-80F2-005056AD41B8,KIEFFER,,CHRISTIANSON,,,,,,SKI,SKI,,kchristianson@gmail.com,,,,,1
Athlete Education,805981,0034600000wFGQ2AAO,KIEFFER,,CHRISTIANSON,,,Male,,1992-08-11 00:00:00,SKI,SKI,5184936695,kchristianson@gmail.com,Anchorage,AK,99517,USA,1
EMR,805981,1700218255506140,KIEFFER,,CHRISTIANSON,,,Male,,1992-08-11 00:00:00,SKI,SKI,,,,,,,1
Competition Results,805981,1020858,KIEFFER,,CHRISTIANSON,,,Male,USA,1992-08-11 00:00:00,SKI,SKI,,,,,,,1
MDM,805981,,KIEFFER,CABOT,CHRISTIANSON,,CHRISTIANSON,Male,USA,1992-08-11 00:00:00,SBX_P,SBX_P,5184936695,kchristianson@gmail.com,Anchorage,AK,99517,USA,1
Athlete CRM,805981,0033h00001Acr6fAAB,KIEFFER,,CHRISTIANSON,,CHRISTIANSON,Male,,,SBX_P,SBX_P,5184936695,kchristianson@gmail.com,,,,,1
Training Center,805981,DF825FAD-4D46-E311-AD33-005056AD000E,KIEFFER,,CHRISTIANSON,,,,USA,1992-08-11 00:00:00,SKI,SKI,5184936695,kchristianson@gmail.com,Anchorage,AK,99517,USA,1
Finance,805981,210016,Kimball,CABOT,Chronic,,,,,,SKI,SKI,,,ANCHORAGE,AK,99517,USA,1
